GEO_ID,Year,Total Population,Median Age,Median HH Income,Total Housing Units,Median Number of Rooms,Median Year Built,Median Gross Rent,Mean HH Size,Percent White,Percent Black,Percent HH with Children,Percent Housing Vacant,geo_12,Number of Public Schools
1500000US170310510001,2013,1551,30.7,105045.0,781,4.8,1939.0,1396.0,2.22,0.8497743391360413,0.016118633139909737,0.48450704225352115,0.10499359795134443,170310510001,0.0
1500000US170310511001,2013,1683,31.0,76689.0,758,5.1,1939.0,1159.0,2.32,0.8437314319667261,0.061794414735591205,0.33569739952718675,0.044854881266490766,170310511001,0.0
1500000US170310512001,2013,684,31.1,76932.0,362,5.2,1939.0,1436.0,2.2,0.7982456140350878,0.09210526315789473,0.5795454545454546,0.1408839779005525,170310512001,0.0
1500000US170310512002,2013,946,34.3,118500.0,374,5.1,1939.0,1154.0,2.34,0.8921775898520085,0.0412262156448203,0.6255924170616114,0.0,170310512002,0.0
1500000US170310513001,2013,1322,33.6,122778.0,570,5.5,1939.0,1507.0,2.72,0.9364599092284418,0.01739788199697428,0.636094674556213,0.14736842105263157,170310513001,1.0
1500000US170310513002,2013,1408,32.1,123250.0,644,4.9,1993.0,1470.0,2.32,0.9069602272727273,0.02130681818181818,0.43646408839779005,0.055900621118012424,170310513002,0.0
1500000US170310514001,2013,1519,31.5,99875.0,666,4.9,1939.0,1149.0,2.58,0.8874259381171824,0.0,0.5362318840579711,0.11561561561561562,170310514001,0.0
1500000US170310514002,2013,854,28.8,65938.0,765,4.6,1939.0,1244.0,2.24,0.7822014051522248,0.07845433255269321,0.6166666666666667,0.5006535947712418,170310514002,1.0
1500000US170310601001,2013,625,36.9,84539.0,401,4.8,1939.0,1131.0,1.81,0.8784,0.0624,0.1953125,0.1396508728179551,170310601001,0.0
1500000US170310601002,2013,1135,33.1,140500.0,644,5.2,1939.0,1613.0,2.09,0.9277533039647577,0.05814977973568282,0.4370629370629371,0.15527950310559005,170310601002,0.0
1500000US170310601003,2013,822,31.0,62177.0,336,5.1,1939.0,1197.0,2.45,0.9124087591240876,0.06690997566909976,0.5355191256830601,0.0,170310601003,1.0
1500000US170310602001,2013,901,34.2,54620.0,707,4.1,1939.0,1049.0,1.48,0.9034406215316315,0.04439511653718091,0.23404255319148937,0.14427157001414428,170310602001,2.0
1500000US170310602002,2013,934,32.8,54798.0,475,4.0,1939.0,1033.0,2.05,0.8062098501070664,0.029978586723768737,0.32786885245901637,0.042105263157894736,170310602002,0.0
1500000US170310603001,2013,1931,30.9,125741.0,794,5.8,1939.0,1612.0,2.59,0.9642672190574831,0.0,0.4650602409638554,0.05919395465994962,170310603001,0.0
1500000US170310603002,2013,1339,29.1,81806.0,577,5.3,1939.0,1342.0,2.56,0.9656460044809559,0.0074682598954443615,0.21929824561403508,0.09185441941074524,170310603002,0.0
1500000US170310604001,2013,1861,28.8,83700.0,773,4.8,1973.0,1197.0,2.51,0.9430413756045137,0.0,0.7642857142857142,0.040103492884864166,170310604001,1.0
1500000US170310604002,2013,1248,28.1,114595.0,457,6.0,1970.0,1633.0,2.93,0.9142628205128205,0.0,0.7511520737327189,0.06783369803063458,170310604002,0.0
1500000US170310604003,2013,1053,29.5,149643.0,446,5.8,1997.0,1678.0,2.69,0.9810066476733144,0.0,0.5679012345679012,0.1210762331838565,170310604003,0.0
1500000US170310605001,2013,1157,40.6,39931.0,807,3.2,1957.0,888.0,1.59,0.8072601555747623,0.037165082108902334,0.31543624161073824,0.14002478314745972,170310605001,0.0
1500000US170310608001,2013,1313,33.8,71450.0,1002,3.2,1962.0,1133.0,1.51,0.7821782178217822,0.048743335872048744,0.1943127962085308,0.13273453093812376,170310608001,0.0
1500000US170310608002,2013,0,,,0,,,,,,,,,170310608002,0.0
1500000US170310608003,2013,3521,31.6,68854.0,2439,3.5,1963.0,1224.0,1.58,0.8028969042885544,0.052257881283726215,0.36542669584245074,0.08692086920869209,170310608003,0.0
1500000US170310609001,2013,778,31.0,46591.0,881,3.4,1939.0,1078.0,1.25,0.800771208226221,0.08868894601542417,0.0,0.2917139614074915,170310609001,0.0
1500000US170310609002,2013,0,,,42,,,,,,,,1.0,170310609002,0.0
1500000US170310609003,2013,1475,40.1,70179.0,1041,3.5,1945.0,1020.0,1.68,0.8311864406779661,0.012203389830508475,0.0,0.1585014409221902,170310609003,0.0
1500000US170310609004,2013,3367,37.6,54779.0,2783,3.0,1963.0,1137.0,1.35,0.8731808731808732,0.021384021384021384,0.22863741339491916,0.10384477182896155,170310609004,0.0
1500000US170310609005,2013,937,27.3,27384.0,401,2.5,1972.0,737.0,2.34,0.4194236926360726,0.2518676627534685,0.8538011695906432,0.0,170310609005,0.0
1500000US170310610001,2013,1672,27.6,85057.0,897,4.8,1939.0,1416.0,2.0,0.8582535885167464,0.014952153110047847,0.40825688073394495,0.06688963210702341,170310610001,1.0
1500000US170310611001,2013,1253,27.9,88289.0,709,4.6,1944.0,1539.0,2.17,0.9497206703910615,0.0,0.20454545454545456,0.1847672778561354,170310611001,0.0
1500000US170310612001,2013,2296,26.6,99219.0,935,5.7,1939.0,1736.0,2.49,0.8837108013937283,0.013937282229965157,0.4557823129251701,0.014973262032085561,170310612001,0.0
1500000US170310615001,2013,2028,28.8,100921.0,887,5.2,1939.0,1592.0,2.41,0.9230769230769231,0.013806706114398421,0.3993610223642173,0.05298759864712514,170310615001,0.0
1500000US170310618001,2013,1145,29.3,57563.0,730,3.6,1955.0,1088.0,1.54,0.8934497816593886,0.011353711790393014,0.3894736842105263,0.050684931506849315,170310618001,0.0
1500000US170310619011,2013,656,32.2,60455.0,458,3.3,1963.0,940.0,1.43,0.8094512195121951,0.018292682926829267,0.27906976744186046,0.0,170310619011,0.0
1500000US170310619012,2013,1177,30.4,83376.0,703,3.7,1959.0,1491.0,1.76,0.9583687340696686,0.0,0.5555555555555556,0.051209103840682786,170310619012,0.0
