,geo_id,stop_id,station_name,distance_miles
1605,1500000US170310106003,30252,Loyola,0.403352621
1606,1500000US170312433002,30033,Ashland,0.02933085
1607,1500000US170316309003,30220,Kedzie,0.363294446
1608,1500000US170310207021,30250,Kimball,0.354152988
1609,1500000US170313108002,30162,18th,0.059916419
1610,1500000US170310307061,30067,Berwyn,0.254609021
1611,1500000US170313012001,30087,California,0.299972789
1612,1500000US170318346001,30224,Garfield,0.32904445
1613,1500000US170310208021,30284,Western,0.187148792
1614,1500000US170310206021,30176,Howard,1.19109519
1615,1500000US170317104003,30057,Ashland/63rd,0.346634966
1616,1500000US170314801001,30276,87th,3.8830732
1617,1500000US170312512001,30055,Central,0.096664661
1618,1500000US170315804002,30220,Kedzie,0.232585006
1619,1500000US170314804005,30089,95th/Dan Ryan,2.697588404
1620,1500000US170316308002,30220,Kedzie,0.456115542
1621,1500000US170314408002,30276,87th,1.445333408
1622,1500000US170318326002,30126,North/Clybourn,0.373620186
1623,1500000US170312609002,30180,Pulaski,0.130390326
1624,1500000US170316304003,30220,Kedzie,0.287287276
1625,1500000US170318439004,30140,Cottage Grove,2.382449253
1626,1500000US170311801001,30248,Jefferson Park,2.160542585
1627,1500000US170314907002,30089,95th/Dan Ryan,0.047705359
1628,1500000US170312422001,30063,Division,0.406199138
1629,1500000US170312415001,30063,Division,0.084340023
1630,1500000US170312214001,30112,California,0.285795765
1631,1500000US170311706002,30045,Cumberland,0.479326794
1632,1500000US170317608032,30045,Cumberland,0.472445422
1633,1500000US170310208014,30284,Western,0.176140912
1634,1500000US170310812023,30122,Clark/Division,0.260413322
1635,1500000US170318400002,30037,Sox-35th,0.507016641
1636,1500000US170318437001,30196,Rockwell,0.073526758
1637,1500000US170312304001,30198,Logan Square,0.73238402
1638,1500000US170317005016,30057,Ashland/63rd,2.163334125
1639,1500000US170317506002,30089,95th/Dan Ryan,1.917162618
1640,1500000US170311203005,30298,Oakton-Skokie,0.517906393
1641,1500000US170316113002,30061,Western,1.164122314
1642,1500000US170312503002,30136,Laramie,0.09865776
1643,1500000US170312211002,30198,Logan Square,0.042177741
1644,1500000US170314911003,30089,95th/Dan Ryan,0.677019567
1645,1500000US170311407023,30250,Kimball,0.265855761
1646,1500000US170311404001,30260,Montrose,0.906367578
1647,1500000US170317204002,30089,95th/Dan Ryan,4.404514612
1648,1500000US170315305013,30089,95th/Dan Ryan,0.638216902
1649,1500000US170310704003,30104,Diversey,0.38428549
1650,1500000US170313812001,30210,47th,0.430756229
1651,1500000US170315001002,30089,95th/Dan Ryan,2.064903755
1652,1500000US170316004003,30216,Halsted,0.205286139
1653,1500000US170318402001,30216,Halsted,0.234514939
1654,1500000US170318386001,30049,Kedzie-Homan,0.331771203
1655,1500000US170313904001,30210,47th,1.136837057
1656,1500000US170318321003,30294,Sheridan,0.198202861
1657,1500000US170310207011,30250,Kimball,0.538646705
1658,1500000US170311104003,30248,Jefferson Park,1.037347174
1659,1500000US170310802023,30122,Clark/Division,0.15490854
1660,1500000US170311606011,30226,Kedzie,0.182971395
1661,1500000US170313819002,30025,51st,0.139920516
1662,1500000US170318329001,30093,Racine,0.233579709
1663,1500000US170311302001,30248,Jefferson Park,0.888145417
1664,1500000US170310107023,30021,Morse,0.302860294
1665,1500000US170313404001,30037,Sox-35th,0.077533697
1666,1500000US170317301001,30089,95th/Dan Ryan,0.728075302
1667,1500000US170312209021,30198,Logan Square,0.958172513
1668,1500000US170311906021,30244,Austin,0.129061512
1669,1500000US170312831002,30093,Racine,0.156726511
1670,1500000US170314908004,30089,95th/Dan Ryan,0.648475047
1671,1500000US170312206024,30198,Logan Square,0.198438516
1672,1500000US170315806004,30061,Western,0.490501029
1673,1500000US170316505002,30182,Midway,0.645414408
1674,1500000US170311402001,30226,Kedzie,0.023612083
1675,1500000US170311508001,30260,Montrose,0.503175109
1676,1500000US170318311003,30240,Addison,0.454024534
1677,1500000US170311908005,30260,Montrose,0.788248056
1678,1500000US170314105001,30100,Garfield,1.001494995
1679,1500000US170312408001,30112,California,0.085437579
1680,1500000US170310312004,30230,Argyle,0.154670689
1681,1500000US170318361002,30224,Garfield,0.301167349
1682,1500000US170316720003,30057,Ashland/63rd,0.674640086
1683,1500000US170318429002,30200,Polk,0.219084105
1684,1500000US170311508005,30260,Montrose,0.651036666
1685,1500000US170312406001,30130,Western,0.223527279
1686,1500000US170311911004,30136,Laramie,0.447959735
1687,1500000US170312515003,30055,Central,0.307194068
1688,1500000US170316915001,30047,79th,1.372914652
1689,1500000US170314804001,30276,87th,4.002702775
1690,1500000US170312209012,30198,Logan Square,0.629691144
1691,1500000US170318360002,30246,43rd,0.395282769
1692,1500000US170312506004,30244,Austin,0.08949725
1693,1500000US170314301011,30140,Cottage Grove,2.300268209
1694,1500000US170310318001,30019,Damen,0.356464477
1695,1500000US170315705002,30186,Pulaski,0.766987926
1696,1500000US170314304001,30140,Cottage Grove,0.917011001
