GEO_ID,Year,pri_neigh,sec_neigh,side,price_p_sf,price_p_house,prev_year_no_of_sales,prev_year_avg_age,prev_year_price_p_sf,prev_year_price_p_house,prev_year_avg_sf,station_name,Total Population,Median Age,Median HH Income,Total Housing Units,Median Number of Rooms,Median Year Built,Median Gross Rent,Mean HH Size,Percent White,Percent Black,Percent HH with Children,Percent Housing Vacant,public_schools,crime_count,crimes_per_capita,distance_miles
1500000US170310311003,2018,Uptown,UPTOWN,North,292.90455555147594,409105.05,17.0,74.82352941176471,315.9985618695829,423986.35294117645,1341.7350713012474,Argyle,1216.0,41.5,65333.0,757.0,4.799999999999999,1939.0,1022.0,1.6700000000000004,0.8264802631578945,0.03042763157894736,0.08527131782945736,0.09907529722589169,0.0,36.0,0.029605263157894742,0.647206285
1500000US170310311003,2019,Uptown,UPTOWN,North,311.4178230069736,388560.8695652174,28.0,73.28571428571429,346.8559910961598,414492.85714285716,1194.9998494560994,Argyle,1300.0,43.299999999999976,57614.0,809.0,4.900000000000003,1939.0,1043.0,1.6599999999999988,0.828461538461539,0.03538461538461537,0.08561643835616435,0.09147095179233622,0.0,39.0,0.03000000000000002,0.6472062849999997
1500000US170310312001,2016,Uptown,UPTOWN,North,273.2962345954038,290144.7368421053,11.0,16.454545454545453,299.3913190446565,191266.45454545456,638.8510366826157,Argyle,1353.0,40.300000000000004,16220.0,891.0,2.3000000000000003,1939.0,616.0,1.9200000000000004,0.6762749445676274,0.12786400591278643,0.6150234741784039,0.20763187429854096,0.0,60.0,0.044345898004434565,0.21974942000000003
1500000US170310312001,2017,Uptown,UPTOWN,North,326.14574270463476,271142.85714285716,8.0,43.375,326.0988704970258,240750.0,738.2730263157896,Argyle,1242.0,38.4,17137.0,854.0,2.5,1939.0,624.0,1.92,0.6916264090177133,0.13929146537842188,0.6683673469387755,0.24238875878220137,0.0,41.0,0.033011272141706925,0.21974942000000003
1500000US170310312001,2018,Uptown,UPTOWN,North,354.1480640314533,281763.15789473685,15.0,64.33333333333333,271.0921274106439,234756.66666666666,865.9663742690059,Argyle,1243.0,35.10000000000001,85865.0,787.0,3.399999999999999,1939.0,,1.9600000000000006,0.7787610619469025,0.054706355591311345,0.5139442231075699,0.19567979669631524,0.0,49.0,0.03942075623491552,0.21974941999999997
1500000US170310312001,2019,Uptown,UPTOWN,North,388.14597897316037,360100.0,19.0,37.421052631578945,273.2962345954038,290144.7368421053,1061.6492293486754,Argyle,1544.0,34.3,,872.0,3.100000000000001,1939.0,788.0,2.2100000000000004,0.7014248704663211,0.040155440414507776,0.4843205574912891,0.19724770642201847,0.0,40.0,0.02590673575129532,0.21974941999999997
1500000US170310312002,2016,Uptown,UPTOWN,North,220.7594183739362,294850.0,8.0,52.5,189.91482958599505,295750.0,1557.2770206766918,Argyle,1646.0,32.5,17917.0,619.0,3.8000000000000003,1939.0,339.0,2.7800000000000002,0.2910085054678007,0.4052247873633049,0.5300859598853869,0.21647819063004853,0.0,187.0,0.11360874848116644,0.05761644999999999
1500000US170310312002,2017,Uptown,UPTOWN,North,320.58369580468644,340000.0,6.0,45.833333333333336,240.4343331557776,205043.33333333334,852.8038847117795,Argyle,1200.0,53.5,20781.0,492.0,2.9,1939.0,379.0,2.5399999999999996,0.38916666666666666,0.38833333333333325,0.2524752475247525,0.2804878048780488,0.0,171.0,0.1425,0.05761644999999999
1500000US170310312002,2018,Uptown,UPTOWN,North,343.6931241924504,279000.0,4.0,51.0,301.64923157383475,235625.0,781.122493734336,Argyle,1524.0,47.3,,574.0,3.3,1939.0,400.0,2.68,0.3274278215223097,0.3510498687664042,0.35471698113207545,0.1951219512195122,0.0,160.0,0.10498687664041996,0.05761645
1500000US170310312002,2019,Uptown,UPTOWN,North,241.4876423019975,385500.0,10.0,53.0,220.7594183739362,294850.0,1335.6168546365914,Argyle,1767.0,43.300000000000004,36713.0,560.0,3.5,1952.0,434.0,3.09,0.3084323712507074,0.420486700622524,0.49836065573770505,0.14107142857142854,0.0,150.0,0.08488964346349746,0.05761645
1500000US170310312003,2016,Uptown,UPTOWN,North,303.40920866291316,292800.0,5.0,48.2,258.7996735381618,280856.8,1085.2285714285713,Argyle,936.0,53.3,8969.0,816.0,1.4,1946.0,416.0,1.3,0.3141025641025641,0.6047008547008547,0.328125,0.11519607843137256,1.0,149.0,0.15918803418803418,0.05370902200000001
